 4.00000000e+00 3.00000000e+00 4.00000000e+00 3.00000000e+00
 4.36000000e+00 2.76000000e+00 3.16400000e+00 -6.60491520e+00
 4.63280000e+00 1.67901696e+00 2.26472000e+00 -1.17564931e+01
 4.81294400e+00 4.08701389e-01 1.32014560e+00 -1.27168093e+01
 4.89682912e+00 -8.64344909e-01 3.49168288e-01 -1.26013139e+01
 4.88277766e+00 -2.11156140e+00 -6.28792390e-01 -1.05892047e+01
 4.77107064e+00 -2.98218585e+00 -1.59417722e+00 -3.40187084e+00
 4.56394221e+00 -2.79193557e+00 -2.52767851e+00 6.25507687e+00
 4.26553494e+00 -1.73117047e+00 -3.41062622e+00 1.16452976e+01
 3.88181697e+00 -4.62876043e-01 -4.22536141e+00 1.27027789e+01
 3.42046266e+00 8.09385313e-01 -4.95558937e+00 1.26165672e+01
 2.89069909e+00 2.06043739e+00 -5.58670555e+00 1.07610437e+01
 2.30312155e+00 2.96159404e+00 -6.10608761e+00 3.81631502e+00
 1.66948157e+00 2.82370039e+00 -6.50334793e+00 -5.88176949e+00
 1.00245196e+00 1.78524014e+00 -6.77054128e+00 -1.15225439e+01
